"x"
"abind"
"ade4"
"ape"
"arm"
"askpass"
"assertthat"
"backports"
"base64enc"
"BH"
"bio3d"
"BiocManager"
"bitops"
"blme"
"blogdown"
"bookdown"
"brew"
"Cairo"
"callr"
"cellranger"
"cli"
"clipr"
"clisymbols"
"coda"
"colorspace"
"commonmark"
"covr"
"cowplot"
"crayon"
"crosstalk"
"curl"
"data.table"
"desc"
"deSolve"
"devtools"
"digest"
"dplyr"
"DT"
"ellipsis"
"evaluate"
"fansi"
"flextable"
"fontBitstreamVera"
"fontLiberation"
"fontquiver"
"formatR"
"freetypeharfbuzz"
"fs"
"gdtools"
"ggplot2"
"ggpubr"
"ggrepel"
"ggsci"
"ggsignif"
"gh"
"git2r"
"glue"
"gridExtra"
"gtable"
"here"
"highr"
"hms"
"htmltools"
"htmlwidgets"
"httpuv"
"httr"
"ini"
"jsonlite"
"kableExtra"
"knitr"
"labeling"
"later"
"lazyeval"
"lifecycle"
"lme4"
"lmerTest"
"magic"
"magrittr"
"markdown"
"matrixcalc"
"memoise"
"mime"
"minqa"
"munsell"
"nloptr"
"numDeriv"
"officer"
"openssl"
"pander"
"pbkrtest"
"pillar"
"pkgbuild"
"pkgconfig"
"pkgload"
"plogr"
"plotrix"
"plyr"
"polynom"
"praise"
"prettyunits"
"processx"
"progress"
"promises"
"ps"
"purrr"
"R6"
"rcmdcheck"
"RColorBrewer"
"Rcpp"
"RcppEigen"
"RCurl"
"readr"
"readxl"
"rematch"
"remotes"
"reshape2"
"rex"
"rJava"
"rlang"
"rmarkdown"
"roxygen2"
"rprojroot"
"rstudioapi"
"rvcheck"
"rversions"
"rvest"
"scales"
"segmented"
"selectr"
"seqinr"
"servr"
"sessioninfo"
"shiny"
"shinyAce"
"sourcetools"
"sparrowtelomeres"
"statmod"
"stringi"
"stringr"
"swirl"
"swirlify"
"sys"
"systemfonts"
"testthat"
"tibble"
"tidyr"
"tidyselect"
"tinytex"
"tufte"
"usethis"
"utf8"
"uuid"
"vctrs"
"viridisLite"
"webshot"
"whisker"
"withr"
"xfun"
"xml2"
"xopen"
"xtable"
"yaml"
"zeallot"
"zip"
